batch_id,source_system,source_doc_type,source_doc_id,source_line_id,event_timestamp,load_timestamp,status_code,error_code,error_message,ledger_id,legal_entity_id,business_unit,company_code,accounting_date,period_name,journal_category,currency_code,exchange_rate_type,exchange_rate,segment_account,segment_department,segment_product,segment_project,segment_interco,segment_custom1,segment_custom2,customer_id,supplier_id,bank_account_id,invoice_id,invoice_line_id,po_id,receipt_id,asset_id,project_id,quantity,uom_code,tax_code,tax_rate,tax_amount_entered,revrec_rule_code,revrec_start_date,revrec_end_date,description,reference1,reference2,reference3,reference4,reference5,reversal_flag,reversed_interface_id,created_by,updated_by,entered_dr,entered_cr,accounted_dr,accounted_cr
SALE_20251030_164056,SALE,INVOICE,TXN000001,LINE000001,2025-08-20 00:00:00,2025-10-30 07:41:07.673568+00:00,READY,,,GL001,COMP001,BU001,COMP001,2025-08-20,2025-08,Sales,USD,Corporate,151.866477,2300,DEPT_CU,PROD0130,,,CAMP05,SALES05,CUST0004,,,INV000001,LINE000001,,,,,21.3400,KG,TAX_REDUCED,0.0800,14207.7900,MONTHLY,2025-08-20,,Product Name PROD0130 | Customer: CUST0004,,INV000001,,REF1_1,REF2_1,False,,ETL_SALES,ETL_SALES,0,177597.3900,0.000000,26971089.9436950300
SALE_20251030_164056,SALE,SHIP,TXN000002,LINE000002,2025-08-23 00:00:00,2025-10-30 07:41:07.675525+00:00,READY,,,GL001,COMP001,BU001,COMP001,2025-08-23 00:00:00,2025-08,Sales,EUR,Corporate,166.529769,4100,DEPT_CU,PROD0172,,,CAMP01,SALES10,CUST0070,,,,LINE000002,,,,,85.0500,L,TAX_EXEMPT,0.0800,23979.2000,MONTHLY,,,Product Name PROD0172 | Order: ORD000002 | Customer: CUST0070,ORD000002,,SHIP000002,REF1_2,REF2_2,False,,ETL_SALES,ETL_SALES,0,299740.0300,0.000000,49915637.9559530700
SALE_20251030_164056,SALE,SHIP,TXN000003,LINE000003,2025-08-08 00:00:00,2025-10-30 07:41:07.675525+00:00,READY,,,GL001,COMP001,BU001,COMP001,2025-08-08 00:00:00,2025-08,Sales,USD,Corporate,158.908803,4100,DEPT_CU,PROD0144,,,CAMP01,SALES01,CUST0065,,,,LINE000003,,,,,83.0700,M,TAX_STD,0.0800,40479.0100,PROJECT,,,Product Name PROD0144 | Order: ORD000003 | Customer: CUST0065,ORD000003,,SHIP000003,REF1_3,REF2_3,False,,ETL_SALES,ETL_SALES,0,505987.6300,0.000000,80405888.6161068900
SALE_20251030_164056,SALE,INVOICE,TXN000004,LINE000004,2025-08-25 00:00:00,2025-10-30 07:41:07.676593+00:00,READY,,,GL001,COMP001,BU001,COMP001,2025-08-25,2025-08,Sales,EUR,Corporate,169.711457,2300,DEPT_CU,PROD0080,,,CAMP08,SALES02,CUST0038,,,INV000004,LINE000004,,,,,95.0700,KG,TAX_REDUCED,0.0800,53226.0100,MONTHLY,2025-08-25,,Product Name PROD0080 | Customer: CUST0038,,INV000004,,REF1_4,REF2_4,False,,ETL_SALES,ETL_SALES,0,665325.1400,0.000000,112913298.8881289800
SALE_20251030_164056,SALE,CM,TXN000005,LINE000005,2025-08-23 00:00:00,2025-10-30 07:41:07.676593+00:00,READY,,,GL001,COMP001,BU001,COMP001,2025-08-23,2025-08,Sales,USD,Corporate,154.976352,4100,DEPT_CU,PROD0123,,,CAMP06,SALES06,CUST0094,,,INV000005,LINE000005,,,,,63.2900,EA,TAX_REDUCED,0.0800,39975.6200,IMMEDIATE,2025-08-23,,Product Name PROD0123 | Customer: CUST0094,,INV000005,,REF1_5,REF2_5,False,,ETL_SALES,ETL_SALES,0,499695.2500,0.000000,77440946.9567280000
SALE_20251030_164056,SALE,INVOICE,TXN000006,LINE000006,2025-08-05 00:00:00,2025-10-30 07:41:07.677523+00:00,READY,,,GL001,COMP001,BU001,COMP001,2025-08-05,2025-08,Sales,EUR,Corporate,166.55898,2300,DEPT_CU,PROD0112,,,CAMP08,SALES05,CUST0055,,,INV000006,LINE000006,,,,,2.8300,L,TAX_STD,0.0800,1687.7800,PROJECT,2025-08-05,,Product Name PROD0112 | Customer: CUST0055,,INV000006,,REF1_6,REF2_6,False,,ETL_SALES,ETL_SALES,0,21097.2000,0.00000,3513928.112856000
SALE_20251030_164056,SALE,PMT,TXN000007,LINE000007,2025-08-21 00:00:00,2025-10-30 07:41:07.677523+00:00,READY,,,GL001,COMP001,BU001,COMP001,2025-08-21 00:00:00,2025-08,Payment,EUR,Corporate,167.418254,1100,DEPT_CU,PROD0165,,,CAMP08,SALES02,CUST0052,,,,LINE000007,,,,,56.5500,EA,TAX_REDUCED,0.0800,4876.1700,IMMEDIATE,,,Product Name PROD0165 | Customer: CUST0052,,,,REF1_7,REF2_7,False,,ETL_SALES,ETL_SALES,60952.1800,0,10204507.5530937200,0.000000
SALE_20251030_164056,SALE,CM,TXN000008,LINE000008,2025-08-04 00:00:00,2025-10-30 07:41:07.678530+00:00,READY,,,GL001,COMP001,BU001,COMP001,2025-08-04,2025-08,Sales,USD,Corporate,144.363124,4100,DEPT_CU,PROD0059,,,CAMP10,SALES11,CUST0058,,,INV000008,LINE000008,,,,,25.7000,EA,TAX_STD,0.1000,10936.0700,IMMEDIATE,2025-08-04,,Product Name PROD0059 | Customer: CUST0058,,INV000008,,REF1_8,REF2_8,False,,ETL_SALES,ETL_SALES,0,109360.7200,0.000000,15787655.1820892800
SALE_20251030_164056,SALE,CM,TXN000009,LINE000009,2025-08-10 00:00:00,2025-10-30 07:41:07.678530+00:00,READY,,,GL001,COMP001,BU001,COMP001,2025-08-10,2025-08,Sales,EUR,Corporate,164.637917,4100,DEPT_CU,PROD0118,,,CAMP09,SALES04,CUST0065,,,INV000009,LINE000009,,,,,71.8500,KG,TAX_STD,0.1000,37281.2900,MONTHLY,2025-08-10,,Product Name PROD0118 | Customer: CUST0065,,INV000009,,REF1_9,REF2_9,False,,ETL_SALES,ETL_SALES,0,372812.8500,0.000000,61379131.0548334500
SALE_20251030_164056,SALE,CM,TXN000010,LINE000010,2025-08-03 00:00:00,2025-10-30 07:41:07.678530+00:00,READY,,,GL001,COMP001,BU001,COMP001,2025-08-03,2025-08,Sales,EUR,Corporate,160.123164,4100,DEPT_CU,PROD0177,,,CAMP06,SALES17,CUST0096,,,INV000010,LINE000010,,,,,64.3800,M,TAX_STD,0.1000,30880.6800,PROJECT,2025-08-03,,Product Name PROD0177 | Customer: CUST0096,,INV000010,,REF1_10,REF2_10,False,,ETL_SALES,ETL_SALES,0,308806.8000,0.000000,49447121.8807152000
